ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL5692864W,Midnight Fantasy,,Ann Major,Harlequin,           2007         ,English,//covers.openlibrary.org/b/id/1186177-M.jpg,224,3.0 (1 rating),0373198728,
OL31979274W,Last Fantasy Volume 5 (Last Fantasy (Graphic Novels)),,Writer Gang (hon Kwon),TokyoPop,           2007         ,English,//covers.openlibrary.org/b/id/874334-M.jpg,192,,1595325301,
OL40141741W,Journal Your Life's Journey,"Fantasy Green, Lined Journal, 6 X 9, 100 Pages",Journal Your Life's Journey,CreateSpace Independent Publishing Platform,           2015         ,English,/images/icons/avatar_book.png,102,,,9781514805985
OL23536554W,Fashion doll fantasy.,,Needlecraft Shop,The Needlecraft Shop,           1994         ,English,/images/icons/avatar_book.png,127,,,
OL19735336W,Fantasy,,Christian Tetzlaff,,           2016         ,,/images/icons/avatar_book.png,66,,,
OL5734759W,"House of Chains (The Malazan Book of the Fallen, Book 4)",,Steven Erikson,Tor Fantasy,           1998         ,English,//covers.openlibrary.org/b/id/525199-M.jpg,1024,4.3 (18 ratings),0765348810,
OL2457494W,Fantasy encyclopedia,,Judy Allen,Kingfisher,           2005         ,English,//covers.openlibrary.org/b/id/6498640-M.jpg,144,4.5 (2 ratings),0753458470,
OL2071377W,The dying earth,,Jack Vance,Baen Fantasy Books,           1950         ,English,//covers.openlibrary.org/b/id/8035159-M.jpg,220,3.6 (8 ratings),0671655647,
OL235280W,A Voyage to Arcturus (Fantasy Masterworks),,David Lindsay,Gollancz,           1920         ,,//covers.openlibrary.org/b/id/380212-M.jpg,288,,0575074833,
OL13851766W,The Fantasy Book,A Pillow Book of Romantic Fantasies,Gary Silver,Clarkson Potter,           2006         ,English,//covers.openlibrary.org/b/id/2359675-M.jpg,96,,0307236064,
OL15042499W,"A Kidnapped Santa Claus by L. Frank Baum, Fiction, Fantasy, Fairy Tales, Folk Tales, Legends & Mythology",,L. Frank Baum,Aegypan,           1969         ,,//covers.openlibrary.org/b/id/11254931-M.jpg,24,5.0 (1 rating),1463800703,
OL25156240W,Fantasy Principle,Psychoanalysis of the Imagination,Michael Vannoy Adams,Taylor & Francis Group,           2004         ,English,/images/icons/avatar_book.png,252,,,9781280052613
OL27448W,The authorized edition of the famous fantasy trilogy of The lord of the rings,,J.R.R. Tolkien,Ballantine Books,           1954         ,,/images/icons/avatar_book.png,,4.6 (83 ratings),,
OL15473831W,Drawing fantasy creatures,,Trevor Cook,Gareth Stevens Pub.,           2011         ,English,//covers.openlibrary.org/b/id/11622402-M.jpg,32,,,9781433950650
OL15588660W,Final fantasy II,,David Brothers,DK/BradyGames Pub.,           2007         ,English,/images/icons/avatar_book.png,173,,0744009421,
OL30536374W,Mysterious Fantasy Book Vol 6,"Fantasy, Fantasy Magazine",Gucio Tulipan,Independently Published,           2019         ,English,/images/icons/avatar_book.png,,,,9781711974804
OL52267W,The Time Machine (Essential Gothic & Dark Fantasy),,H. G. Wells,Flame Tree 451,           1895         ,,//covers.openlibrary.org/b/id/8781345-M.jpg,128,3.9 (84 ratings),1787550931,
OL41753740W,Composition Notebook,Blue Fantasy Marble College Ruled Blank Lined Cute Notebooks for Girls Women Teens Kids School Writing Notes Journal,Handy Notebooks,CreateSpace Independent Publishing Platform,           2018         ,English,/images/icons/avatar_book.png,110,,,9781725649255
OL9282845W,Fantasy Football For Dummies,,Martin Signore,"John Wiley & Sons, Ltd.",           2007         ,English,//covers.openlibrary.org/b/id/6404019-M.jpg,,,,9780470191491
